scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1,0,0,4,1,0.00025,0.4
early outbreak,medium,10,outbreak,2,1,,4000,1,0,0,4,100,0.025,0.5
early outbreak,short,10,outbreak,3,1,,4000,1,0,0,4,98,0.0245,0.4
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,4,79,0.01975,0.4
late outbreak,medium,10,outbreak,5,1,,4000,1,0,0,3,1671,0.41775,0.4
late outbreak,short,10,outbreak,6,1,,4000,1,5,0.00125,4,7,0.00175,0.4
near peak,long,10,outbreak,7,1,,4000,1,0,0,4,18,0.0045,0.4
near peak,medium,10,outbreak,8,1,,4000,1,0,0,3,1527,0.38175,0.4
near peak,short,10,outbreak,9,1,,4000,1,0,0,4,157,0.03925,0.4
past peak,long,10,outbreak,10,1,,4000,1,0,0,4,24,0.006,0.4
past peak,medium,10,outbreak,11,1,,4000,1,0,0,4,82,0.0205,0.4
past peak,short,10,outbreak,12,1,,4000,1,0,0,4,2,5e-04,0.4
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,3,1423,0.35575,0.6
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,3,1520,0.38,0.7
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,3,1567,0.39175,0.7
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1587,0.39675,0.7
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1519,0.37975,0.6
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1498,0.3745,0.8
near peak,long,100,outbreak,19,1,,4000,1,0,0,3,1559,0.38975,0.6
near peak,medium,100,outbreak,20,1,,4000,1,0,0,3,1697,0.42425,0.8
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1715,0.42875,0.7
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,1829,0.45725,0.8
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1618,0.4045,0.8
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,1628,0.407,0.7
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,3,1426,0.3565,1.1
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,3,1520,0.38,1.1
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,1646,0.4115,1.1
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1638,0.4095,1.1
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1629,0.40725,1.1
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,1540,0.385,1.1
near peak,long,200,outbreak,31,1,,4000,1,0,0,3,1487,0.37175,1
near peak,medium,200,outbreak,32,1,,4000,1,0,0,3,1559,0.38975,1.1
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,1605,0.40125,1.1
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,1575,0.39375,1
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1646,0.4115,1.1
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,1488,0.372,1.1
early outbreak,long,400,outbreak,37,1,,4000,1,0,0,3,1482,0.3705,1.7
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,3,1627,0.40675,1.7
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,1404,0.351,1.7
late outbreak,long,400,outbreak,40,1,,4000,1.01,0,0,3,1616,0.404,1.6
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,1591,0.39775,1.7
late outbreak,short,400,outbreak,42,1,,4000,1,0,0,3,1508,0.377,1.7
near peak,long,400,outbreak,43,1,,4000,1,0,0,3,1650,0.4125,1.7
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,1528,0.382,1.7
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,1471,0.36775,1.7
past peak,long,400,outbreak,46,1,,4000,1,0,0,3,1435,0.35875,1.6
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,1578,0.3945,1.7
past peak,short,400,outbreak,48,1,,4000,1,0,0,3,1388,0.347,1.7
decay,long,200,exponential,49,1,,4000,1,0,0,3,1514,0.3785,1
decay,long,200,exponential,50,2,,4000,1,0,0,3,1591,0.39775,0.9
decay,long,200,exponential,51,3,,4000,1,0,0,3,1646,0.4115,1.1
decay,long,200,exponential,52,4,,4000,1,0,0,3,1606,0.4015,1.1
decay,long,200,exponential,53,5,,4000,1,0,0,3,1460,0.365,1
decay,long,200,exponential,54,6,,4000,1,0,0,3,1636,0.409,1
decay,long,200,exponential,55,7,,4000,1,0,0,3,1481,0.37025,1
decay,long,200,exponential,56,8,,4000,1,0,0,3,1579,0.39475,1
decay,long,200,exponential,57,9,,4000,1,0,0,3,1721,0.43025,1
decay,long,200,exponential,58,10,,4000,1,0,0,3,1561,0.39025,1
decay,long,200,exponential,59,11,,4000,1,0,0,3,1628,0.407,1.1
decay,long,200,exponential,60,12,,4000,1,0,0,3,1581,0.39525,1.1
decay,long,200,exponential,61,13,,4000,1,0,0,3,1671,0.41775,1.1
decay,long,200,exponential,62,14,,4000,1,0,0,3,1510,0.3775,1
decay,long,200,exponential,63,15,,4000,1,0,0,3,1614,0.4035,1.1
decay,long,200,exponential,64,16,,4000,1,0,0,3,1579,0.39475,1.1
decay,long,200,exponential,65,17,,4000,1,0,0,3,1570,0.3925,1.1
decay,long,200,exponential,66,18,,4000,1,0,0,4,2,5e-04,1
decay,long,200,exponential,67,19,,4000,1,0,0,3,1647,0.41175,1.1
decay,long,200,exponential,68,20,,4000,1,0,0,3,1725,0.43125,1.1
decay,medium,200,exponential,69,1,,4000,1,0,0,3,1539,0.38475,1
decay,medium,200,exponential,70,2,,4000,1,0,0,3,1700,0.425,1.1
decay,medium,200,exponential,71,3,,4000,1,0,0,3,1620,0.405,1.1
decay,medium,200,exponential,72,4,,4000,1,0,0,3,1492,0.373,1
decay,medium,200,exponential,73,5,,4000,1.01,0,0,3,1610,0.4025,1.1
decay,medium,200,exponential,74,6,,4000,1,0,0,3,1804,0.451,1.1
decay,medium,200,exponential,75,7,,4000,1,0,0,3,1632,0.408,1
decay,medium,200,exponential,76,8,,4000,1,0,0,3,1390,0.3475,1.1
decay,medium,200,exponential,77,9,,4000,1,0,0,3,1707,0.42675,1.1
decay,medium,200,exponential,78,10,,4000,1,0,0,3,1469,0.36725,1
decay,medium,200,exponential,79,11,,4000,1,0,0,3,1673,0.41825,1
decay,medium,200,exponential,80,12,,4000,1,0,0,3,1592,0.398,1.1
decay,medium,200,exponential,81,13,,4000,1,0,0,3,1576,0.394,1.1
decay,medium,200,exponential,82,14,,4000,1,0,0,3,1466,0.3665,1
decay,medium,200,exponential,83,15,,4000,1,0,0,3,1539,0.38475,1.1
decay,medium,200,exponential,84,16,,4000,1,0,0,3,1563,0.39075,1.1
decay,medium,200,exponential,85,17,,4000,1,0,0,3,1422,0.3555,1
decay,medium,200,exponential,86,18,,4000,1,0,0,3,1657,0.41425,1.1
decay,medium,200,exponential,87,19,,4000,1,0,0,3,1605,0.40125,1.1
decay,medium,200,exponential,88,20,,4000,1,0,0,3,1635,0.40875,1
decay,short,200,exponential,89,1,,4000,1,0,0,3,1526,0.3815,1.1
decay,short,200,exponential,90,2,,4000,1,0,0,3,1586,0.3965,1.1
decay,short,200,exponential,91,3,,4000,1,0,0,3,1491,0.37275,1
decay,short,200,exponential,92,4,,4000,1,0,0,3,1529,0.38225,1.1
decay,short,200,exponential,93,5,,4000,1,0,0,3,1525,0.38125,1.1
decay,short,200,exponential,94,6,,4000,1,0,0,3,1446,0.3615,1.1
decay,short,200,exponential,95,7,,4000,1,0,0,3,1358,0.3395,1
decay,short,200,exponential,96,8,,4000,1,0,0,3,1512,0.378,1.1
decay,short,200,exponential,97,9,,4000,1,0,0,3,1620,0.405,1.1
decay,short,200,exponential,98,10,,4000,1,0,0,3,1468,0.367,1
decay,short,200,exponential,99,11,,4000,1,0,0,3,1342,0.3355,1.1
decay,short,200,exponential,100,12,,4000,1,0,0,3,1546,0.3865,1.1
