scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1.01,0,0,6,3,0.00075,0.9
early outbreak,medium,10,outbreak,2,1,,4000,1.02,27,0.00675,5,45,0.01125,0.8
early outbreak,short,10,outbreak,3,1,,4000,1.01,35,0.00875,6,14,0.0035,1.2
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,5,3,0.00075,3.9
late outbreak,medium,10,outbreak,5,1,,4000,1.01,0,0,5,8,0.002,6.4
late outbreak,short,10,outbreak,6,1,,4000,1.02,3081,0.77025,10,10,0.0025,28.3
near peak,long,10,outbreak,7,1,,4000,1.01,0,0,5,41,0.01025,1.7
near peak,medium,10,outbreak,8,1,,4000,1.01,17,0.00425,6,29,0.00725,1.7
near peak,short,10,outbreak,9,1,,4000,1.01,2277,0.56925,8,2,5e-04,5.1
past peak,long,10,outbreak,10,1,,4000,1.02,187,0.04675,5,23,0.00575,5
past peak,medium,10,outbreak,11,1,,4000,1.01,2,5e-04,6,1,0.00025,4.5
past peak,short,10,outbreak,12,1,,4000,1.01,177,0.04425,5,38,0.0095,3.9
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,4,103,0.02575,1
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,4,3,0.00075,1
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,4,3,0.00075,1
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,4,5,0.00125,6.7
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1461,0.36525,6.4
late outbreak,short,100,outbreak,18,1,,4000,1,607,0.15175,5,46,0.0115,24.8
near peak,long,100,outbreak,19,1,,4000,1.01,0,0,4,80,0.02,2.4
near peak,medium,100,outbreak,20,1,,4000,1,0,0,4,52,0.013,2.4
near peak,short,100,outbreak,21,1,,4000,1,5,0.00125,3,1446,0.3615,2.2
past peak,long,100,outbreak,22,1,,4000,1,0,0,4,23,0.00575,4.1
past peak,medium,100,outbreak,23,1,,4000,1,0,0,4,6,0.0015,3.5
past peak,short,100,outbreak,24,1,,4000,1.56,1296,0.324,8,69,0.01725,23.6
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,4,163,0.04075,1.4
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,4,6,0.0015,1.4
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,1572,0.393,1.3
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1700,0.425,6.6
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1497,0.37425,6.5
late outbreak,short,200,outbreak,30,1,,4000,1,213,0.05325,4,6,0.0015,8.8
near peak,long,200,outbreak,31,1,,4000,1,0,0,4,143,0.03575,2.9
near peak,medium,200,outbreak,32,1,,4000,1,0,0,4,5,0.00125,2.5
near peak,short,200,outbreak,33,1,,4000,1,69,0.01725,3,1689,0.42225,2.8
past peak,long,200,outbreak,34,1,,4000,1,0,0,4,49,0.01225,4.8
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1580,0.395,4.5
past peak,short,200,outbreak,36,1,,4000,1,21,0.00525,3,1634,0.4085,4.9
early outbreak,long,400,outbreak,37,1,,4000,1,0,0,4,144,0.036,2.4
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,3,1475,0.36875,2.1
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,1640,0.41,2
late outbreak,long,400,outbreak,40,1,,4000,1,0,0,3,1584,0.396,7.9
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,1502,0.3755,8
late outbreak,short,400,outbreak,42,1,,4000,1,450,0.1125,4,521,0.13025,26.8
near peak,long,400,outbreak,43,1,,4000,1,0,0,4,24,0.006,3.3
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,1474,0.3685,3.2
near peak,short,400,outbreak,45,1,,4000,1.01,0,0,3,1556,0.389,3.2
past peak,long,400,outbreak,46,1,,4000,1,0,0,4,6,0.0015,5.4
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,1603,0.40075,5.4
past peak,short,400,outbreak,48,1,,4000,1,10,0.0025,3,1592,0.398,5.4
decay,long,200,exponential,49,1,,4000,1,0,0,4,2,5e-04,2.4
decay,long,200,exponential,50,2,,4000,1,0,0,3,1367,0.34175,2.4
decay,long,200,exponential,51,3,,4000,1,0,0,3,1342,0.3355,2.4
decay,long,200,exponential,52,4,,4000,1,0,0,4,8,0.002,2.5
decay,long,200,exponential,53,5,,4000,1,0,0,3,1582,0.3955,2.4
decay,long,200,exponential,54,6,,4000,1,0,0,4,20,0.005,2.4
decay,long,200,exponential,55,7,,4000,1.01,0,0,4,12,0.003,2.5
decay,long,200,exponential,56,8,,4000,1,0,0,4,3,0.00075,2.4
decay,long,200,exponential,57,9,,4000,1,0,0,4,2,5e-04,2.5
decay,long,200,exponential,58,10,,4000,1,0,0,3,1535,0.38375,2.4
decay,long,200,exponential,59,11,,4000,1,0,0,4,2,5e-04,2.4
decay,long,200,exponential,60,12,,4000,1.01,0,0,4,24,0.006,2.6
decay,long,200,exponential,61,13,,4000,1,0,0,3,1497,0.37425,2.4
decay,long,200,exponential,62,14,,4000,1,0,0,3,1569,0.39225,2.4
decay,long,200,exponential,63,15,,4000,1,0,0,4,39,0.00975,2.5
decay,long,200,exponential,64,16,,4000,1,0,0,4,1,0.00025,2.4
decay,long,200,exponential,65,17,,4000,1,0,0,4,13,0.00325,2.5
decay,long,200,exponential,66,18,,4000,1,0,0,3,1564,0.391,2.3
decay,long,200,exponential,67,19,,4000,1,0,0,3,1577,0.39425,2.3
decay,long,200,exponential,68,20,,4000,1,0,0,4,6,0.0015,2.4
decay,medium,200,exponential,69,1,,4000,1,0,0,3,1691,0.42275,2.5
decay,medium,200,exponential,70,2,,4000,1,0,0,3,1649,0.41225,2.5
decay,medium,200,exponential,71,3,,4000,1,0,0,3,1666,0.4165,2.5
decay,medium,200,exponential,72,4,,4000,1,0,0,3,1698,0.4245,2.5
decay,medium,200,exponential,73,5,,4000,1,0,0,3,1693,0.42325,2.6
decay,medium,200,exponential,74,6,,4000,1,0,0,3,1581,0.39525,2.4
decay,medium,200,exponential,75,7,,4000,1,0,0,3,1710,0.4275,2.5
decay,medium,200,exponential,76,8,,4000,1,0,0,3,1569,0.39225,2.4
decay,medium,200,exponential,77,9,,4000,1,0,0,3,1588,0.397,2.5
decay,medium,200,exponential,78,10,,4000,1,0,0,3,1626,0.4065,2.5
decay,medium,200,exponential,79,11,,4000,1,0,0,3,1641,0.41025,2.5
decay,medium,200,exponential,80,12,,4000,1,0,0,3,1649,0.41225,2.5
decay,medium,200,exponential,81,13,,4000,1,0,0,3,1649,0.41225,2.4
decay,medium,200,exponential,82,14,,4000,1,0,0,3,1460,0.365,2.4
decay,medium,200,exponential,83,15,,4000,1,0,0,3,1528,0.382,2.4
decay,medium,200,exponential,84,16,,4000,1,0,0,3,1598,0.3995,2.5
decay,medium,200,exponential,85,17,,4000,1,0,0,3,1497,0.37425,2.5
decay,medium,200,exponential,86,18,,4000,1,0,0,3,1611,0.40275,2.5
decay,medium,200,exponential,87,19,,4000,1,0,0,3,1818,0.4545,2.6
decay,medium,200,exponential,88,20,,4000,1,0,0,3,1575,0.39375,2.5
decay,short,200,exponential,89,1,,4000,1,0,0,3,1507,0.37675,2.4
decay,short,200,exponential,90,2,,4000,1,369,0.09225,6,1,0.00025,7.3
decay,short,200,exponential,91,3,,4000,1.04,2890,0.7225,10,60,0.015,81
decay,short,200,exponential,92,4,,4000,1,0,0,3,1416,0.354,2.4
decay,short,200,exponential,93,5,,4000,1,0,0,4,2,5e-04,2.7
decay,short,200,exponential,94,6,,4000,1,0,0,3,1420,0.355,2.7
decay,short,200,exponential,95,7,,4000,1,0,0,3,1349,0.33725,2.5
decay,short,200,exponential,96,8,,4000,1.01,9,0.00225,3,1449,0.36225,3.1
decay,short,200,exponential,97,9,,4000,1,1,0.00025,3,1266,0.3165,2.6
decay,short,200,exponential,98,10,,4000,1,0,0,3,1539,0.38475,2.6
decay,short,200,exponential,99,11,,4000,1,389,0.09725,6,1,0.00025,7.5
decay,short,200,exponential,100,12,,4000,1,179,0.04475,4,484,0.121,5
decay,short,200,exponential,101,13,,4000,1,0,0,3,1570,0.3925,2.5
decay,short,200,exponential,102,14,,4000,1,0,0,3,1475,0.36875,2.5
decay,short,200,exponential,103,15,,4000,1,0,0,3,1518,0.3795,2.5
decay,short,200,exponential,104,16,,4000,1,0,0,3,1609,0.40225,2.5
decay,short,200,exponential,105,17,,4000,1,0,0,3,1578,0.3945,2.6
decay,short,200,exponential,106,18,,4000,1.01,0,0,3,1505,0.37625,2.6
decay,short,200,exponential,107,19,,4000,1,0,0,3,1417,0.35425,2.6
decay,short,200,exponential,108,20,,4000,1,0,0,3,1540,0.385,2.4
fast decay,long,200,exponential,109,1,,4000,1,0,0,4,75,0.01875,2.6
fast decay,long,200,exponential,110,2,,4000,1,0,0,4,82,0.0205,2.7
fast decay,long,200,exponential,111,3,,4000,1,0,0,4,90,0.0225,2.7
fast decay,long,200,exponential,112,4,,4000,1,0,0,4,52,0.013,2.7
fast decay,long,200,exponential,113,5,,4000,1,0,0,4,17,0.00425,2.5
fast decay,long,200,exponential,114,6,,4000,1,0,0,3,1511,0.37775,2.4
fast decay,long,200,exponential,115,7,,4000,1.01,0,0,4,41,0.01025,2.6
fast decay,long,200,exponential,116,8,,4000,1,0,0,4,30,0.0075,2.4
fast decay,long,200,exponential,117,9,,4000,1.01,0,0,3,1633,0.40825,2.5
fast decay,long,200,exponential,118,10,,4000,1.01,0,0,4,15,0.00375,2.2
fast decay,long,200,exponential,119,11,,4000,1,0,0,3,1374,0.3435,2.4
fast decay,long,200,exponential,120,12,,4000,1,0,0,4,12,0.003,2.4
fast decay,long,200,exponential,121,13,,4000,1.01,0,0,4,2,5e-04,2.4
fast decay,long,200,exponential,122,14,,4000,1,0,0,4,51,0.01275,2.4
fast decay,long,200,exponential,123,15,,4000,1,0,0,3,1580,0.395,2.4
fast decay,long,200,exponential,124,16,,4000,1,0,0,4,44,0.011,2.6
fast decay,long,200,exponential,125,17,,4000,1,0,0,4,43,0.01075,2.6
fast decay,long,200,exponential,126,18,,4000,1,0,0,3,1635,0.40875,2.5
fast decay,long,200,exponential,127,19,,4000,1,0,0,4,51,0.01275,2.6
fast decay,long,200,exponential,128,20,,4000,1,0,0,4,6,0.0015,2.5
fast decay,medium,200,exponential,129,1,,4000,1,0,0,3,1350,0.3375,2
fast decay,medium,200,exponential,130,2,,4000,1,0,0,3,1682,0.4205,2.5
fast decay,medium,200,exponential,131,3,,4000,1,0,0,4,2,5e-04,2.3
fast decay,medium,200,exponential,132,4,,4000,1,0,0,3,1475,0.36875,2.4
fast decay,medium,200,exponential,133,5,,4000,1,0,0,3,1621,0.40525,2.5
fast decay,medium,200,exponential,134,6,,4000,1,0,0,3,1723,0.43075,2.5
fast decay,medium,200,exponential,135,7,,4000,1,0,0,3,1655,0.41375,2.4
fast decay,medium,200,exponential,136,8,,4000,1,0,0,3,1591,0.39775,2.1
fast decay,medium,200,exponential,137,9,,4000,1,0,0,3,1443,0.36075,2.4
fast decay,medium,200,exponential,138,10,,4000,1,0,0,3,1715,0.42875,2.6
fast decay,medium,200,exponential,139,11,,4000,1,0,0,3,1913,0.47825,2.1
fast decay,medium,200,exponential,140,12,,4000,1,0,0,3,1758,0.4395,2.3
fast decay,medium,200,exponential,141,13,,4000,1,0,0,3,1630,0.4075,2.4
fast decay,medium,200,exponential,142,14,,4000,1,0,0,3,1626,0.4065,2.3
fast decay,medium,200,exponential,143,15,,4000,1,0,0,3,1528,0.382,2
fast decay,medium,200,exponential,144,16,,4000,1,0,0,3,1623,0.40575,2.3
