scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1,0,0,6,11,0.00275,1
early outbreak,medium,10,outbreak,2,1,,4000,1.01,1,0.00025,6,1,0.00025,0.9
early outbreak,short,10,outbreak,3,1,,4000,1,3,0.00075,5,51,0.01275,0.9
late outbreak,long,10,outbreak,4,1,,4000,1.01,0,0,5,4,0.001,7.6
late outbreak,medium,10,outbreak,5,1,,4000,1.01,0,0,5,1,0.00025,8.3
late outbreak,short,10,outbreak,6,1,,4000,1.01,838,0.2095,6,70,0.0175,34.9
near peak,long,10,outbreak,7,1,,4000,1,0,0,6,2,5e-04,3.1
near peak,medium,10,outbreak,8,1,,4000,1.02,13,0.00325,6,3,0.00075,2.6
near peak,short,10,outbreak,9,1,,4000,1.01,2405,0.60125,7,8,0.002,10
past peak,long,10,outbreak,10,1,,4000,1.01,0,0,6,1,0.00025,7.8
past peak,medium,10,outbreak,11,1,,4000,1.01,0,0,5,4,0.001,5.1
past peak,short,10,outbreak,12,1,,4000,1,73,0.01825,4,408,0.102,5.6
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,4,181,0.04525,1.1
early outbreak,medium,100,outbreak,14,1,,4000,1.01,0,0,4,33,0.00825,1.1
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,4,10,0.0025,1
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,4,39,0.00975,6.9
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1516,0.379,6.9
late outbreak,short,100,outbreak,18,1,,4000,1.53,850,0.2125,10,520,0.13,405.6
near peak,long,100,outbreak,19,1,,4000,1,0,0,4,172,0.043,2.4
near peak,medium,100,outbreak,20,1,,4000,1,0,0,4,2,5e-04,2.2
near peak,short,100,outbreak,21,1,,4000,1,11,0.00275,3,1738,0.4345,2.2
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,1369,0.34225,4.1
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1525,0.38125,4.2
past peak,short,100,outbreak,24,1,,4000,1.88,3093,0.77325,10,222,0.0555,176.2
early outbreak,long,200,outbreak,25,1,,4000,1.01,0,0,5,19,0.00475,1.8
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,4,195,0.04875,1.6
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,1282,0.3205,1.4
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1665,0.41625,7.1
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1609,0.40225,7.3
late outbreak,short,200,outbreak,30,1,,4000,1.49,1160,0.29,9,1,0.00025,90.9
near peak,long,200,outbreak,31,1,,4000,1,0,0,4,160,0.04,2.8
near peak,medium,200,outbreak,32,1,,4000,1,0,0,4,148,0.037,2.7
near peak,short,200,outbreak,33,1,,4000,1,51,0.01275,4,373,0.09325,4.3
past peak,long,200,outbreak,34,1,,4000,1,0,0,4,32,0.008,4.7
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1578,0.3945,4.5
past peak,short,200,outbreak,36,1,,4000,1,16,0.004,4,246,0.0615,6.5
early outbreak,long,400,outbreak,37,1,,4000,1.01,0,0,5,33,0.00825,3
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,4,186,0.0465,2.6
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,1577,0.39425,2
late outbreak,long,400,outbreak,40,1,,4000,1,0,0,3,1598,0.3995,7.8
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,1703,0.42575,8.1
late outbreak,short,400,outbreak,42,1,,4000,2.04,2073,0.51825,9,5,0.00125,83.6
near peak,long,400,outbreak,43,1,,4000,1,0,0,4,188,0.047,3.9
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,1439,0.35975,3.2
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,1501,0.37525,3.3
past peak,long,400,outbreak,46,1,,4000,1,0,0,4,50,0.0125,5.4
