scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,min_ess_bulk,min_ess_tail,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1,1518.12,1069,0,0,6,26,0.0065,2.6
early outbreak,medium,10,outbreak,2,1,,4000,1,1225.46,889,0,0,5,244,0.061,1.9
early outbreak,short,10,outbreak,3,1,,4000,1,1494.62,1223,0,0,6,11,0.00275,3.2
late outbreak,long,10,outbreak,4,1,,4000,1,986.63,859,0,0,6,11,0.00275,10.8
late outbreak,medium,10,outbreak,5,1,,4000,1,1236.46,1041,0,0,6,75,0.01875,16.1
late outbreak,short,10,outbreak,6,1,,4000,1,1181.8,728,1,0.00025,6,26,0.0065,6.5
near peak,long,10,outbreak,7,1,,4000,1,1424.74,1334,0,0,6,51,0.01275,5.3
near peak,medium,10,outbreak,8,1,,4000,1,1329.59,1362,0,0,6,1,0.00025,3.6
near peak,short,10,outbreak,9,1,,4000,1,833.83,607,930,0.2325,7,1,0.00025,7.7
past peak,long,10,outbreak,10,1,,4000,1,1306.36,830,0,0,6,12,0.003,10.7
past peak,medium,10,outbreak,11,1,,4000,1,1141.59,1086,0,0,6,25,0.00625,12.1
past peak,short,10,outbreak,12,1,,3000,1,836.92,487,0,0,6,18,0.006,9.1
early outbreak,long,100,outbreak,13,1,,4000,1,1249.75,1063,0,0,6,85,0.02125,3.6
early outbreak,medium,100,outbreak,14,1,,4000,1,1333.53,1010,0,0,6,6,0.0015,3.4
early outbreak,short,100,outbreak,15,1,,4000,1,1277.72,864,0,0,6,16,0.004,3.2
late outbreak,long,100,outbreak,16,1,,4000,1,1188.81,1275,0,0,6,166,0.0415,24.5
late outbreak,medium,100,outbreak,17,1,,4000,1,1126.66,975,0,0,6,134,0.0335,24.3
late outbreak,short,100,outbreak,18,1,,4000,1,1229.3,875,0,0,6,100,0.025,21.3
near peak,long,100,outbreak,19,1,,4000,1,995.78,834,0,0,7,1,0.00025,11.8
near peak,medium,100,outbreak,20,1,,4000,1,1249.22,955,0,0,7,1,0.00025,12.8
near peak,short,100,outbreak,21,1,,4000,1,1152.13,787,1,0.00025,6,702,0.1755,11.2
past peak,long,100,outbreak,22,1,,3000,1,727.25,658,0,0,7,5,0.00166666666666667,20
past peak,medium,100,outbreak,23,1,,3000,1,802.9,682,0,0,6,89,0.0296666666666667,13.8
past peak,short,100,outbreak,24,1,,3000,1,769.25,637,0,0,6,120,0.04,12.4
early outbreak,long,200,outbreak,25,1,,4000,1,1180.85,891,0,0,6,28,0.007,3.5
early outbreak,medium,200,outbreak,26,1,,4000,1,901.39,1360,0,0,6,44,0.011,4
early outbreak,short,200,outbreak,27,1,,4000,1,1052.01,1193,0,0,6,39,0.00975,4.1
late outbreak,long,200,outbreak,28,1,,4000,1,1087,1174,0,0,6,262,0.0655,24.7
late outbreak,medium,200,outbreak,29,1,,4000,1,1170.2,1060,0,0,6,400,0.1,24.8
late outbreak,short,200,outbreak,30,1,,4000,1,823.14,616,0,0,6,336,0.084,26
near peak,long,200,outbreak,31,1,,4000,1,1044.24,765,0,0,7,57,0.01425,14.9
near peak,medium,200,outbreak,32,1,,3000,1,814.39,498,0,0,7,9,0.003,14.1
near peak,short,200,outbreak,33,1,,4000,1,945.94,754,0,0,6,665,0.16625,12.1
