scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1,0,0,6,949,0.23725,1.3
early outbreak,medium,10,outbreak,2,1,,4000,1,0,0,7,577,0.14425,1.5
early outbreak,short,10,outbreak,3,1,,4000,1,0,0,7,8,0.002,1.1
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,5,1,0.00025,1.1
late outbreak,medium,10,outbreak,5,1,,4000,1,0,0,4,3867,0.96675,1
late outbreak,short,10,outbreak,6,1,,4000,1.01,0,0,4,3421,0.85525,1.1
near peak,long,10,outbreak,7,1,,4000,1.01,0,0,5,2037,0.50925,1.1
near peak,medium,10,outbreak,8,1,,4000,1,0,0,6,1,0.00025,1.2
near peak,short,10,outbreak,9,1,,4000,1.01,0,0,4,3313,0.82825,1.1
past peak,long,10,outbreak,10,1,,4000,1.01,0,0,5,897,0.22425,1
past peak,medium,10,outbreak,11,1,,4000,1,0,0,5,367,0.09175,1.1
past peak,short,10,outbreak,12,1,,4000,1.01,0,0,5,21,0.00525,1.1
early outbreak,long,100,outbreak,13,1,,4000,1.01,0,0,6,1,0.00025,3.1
early outbreak,medium,100,outbreak,14,1,,4000,1.01,0,0,5,3733,0.93325,3.3
early outbreak,short,100,outbreak,15,1,,4000,1.01,0,0,5,2847,0.71175,3.3
late outbreak,long,100,outbreak,16,1,,4000,1.01,0,0,5,2556,0.639,3.2
late outbreak,medium,100,outbreak,17,1,,4000,1.01,0,0,5,2098,0.5245,3.3
late outbreak,short,100,outbreak,18,1,,4000,1.01,0,0,5,2114,0.5285,3.7
near peak,long,100,outbreak,19,1,,4000,1.01,0,0,5,1616,0.404,3.2
near peak,medium,100,outbreak,20,1,,4000,1.01,0,0,5,3360,0.84,3.2
near peak,short,100,outbreak,21,1,,4000,1.01,0,0,5,2756,0.689,3.6
past peak,long,100,outbreak,22,1,,4000,1.01,0,0,5,3508,0.877,3.3
past peak,medium,100,outbreak,23,1,,4000,1.01,0,0,5,2219,0.55475,3.2
past peak,short,100,outbreak,24,1,,4000,1.01,0,0,5,2790,0.6975,3.7
early outbreak,long,200,outbreak,25,1,,4000,1.01,0,0,5,4000,1,5.9
early outbreak,medium,200,outbreak,26,1,,4000,1.01,0,0,5,4000,1,6
early outbreak,short,200,outbreak,27,1,,4000,1.01,0,0,5,4000,1,6.6
late outbreak,long,200,outbreak,28,1,,4000,1.01,0,0,5,4000,1,6.1
late outbreak,medium,200,outbreak,29,1,,4000,1.01,0,0,5,4000,1,6.4
late outbreak,short,200,outbreak,30,1,,4000,1.01,0,0,5,4000,1,6.8
near peak,long,200,outbreak,31,1,,4000,1.01,0,0,5,4000,1,5.8
near peak,medium,200,outbreak,32,1,,4000,1.01,0,0,5,4000,1,6
near peak,short,200,outbreak,33,1,,4000,1.01,0,0,5,4000,1,6.9
past peak,long,200,outbreak,34,1,,4000,1.01,0,0,5,3998,0.9995,5.9
past peak,medium,200,outbreak,35,1,,4000,1.01,0,0,5,4000,1,6.4
past peak,short,200,outbreak,36,1,,4000,1.01,0,0,5,4000,1,7
decay,long,200,exponential,37,1,,4000,1.01,0,0,5,4000,1,5.7
decay,long,200,exponential,38,2,,4000,1.01,0,0,5,4000,1,6.1
decay,long,200,exponential,39,3,,4000,1.01,0,0,5,4000,1,5.7
decay,long,200,exponential,40,4,,4000,1.01,0,0,5,4000,1,5.9
decay,long,200,exponential,41,5,,4000,1.01,0,0,5,4000,1,6.1
decay,long,200,exponential,42,6,,4000,1.01,0,0,5,4000,1,5.7
decay,long,200,exponential,43,7,,4000,1.01,0,0,5,4000,1,5.9
decay,long,200,exponential,44,8,,4000,1.01,0,0,5,4000,1,6
decay,long,200,exponential,45,9,,4000,1.01,0,0,5,4000,1,5.7
decay,long,200,exponential,46,10,,4000,1.01,0,0,5,4000,1,5.8
decay,long,200,exponential,47,11,,4000,1.01,0,0,5,4000,1,5.7
decay,long,200,exponential,48,12,,4000,1.01,0,0,5,4000,1,5.7
decay,long,200,exponential,49,13,,4000,1.01,0,0,6,1,0.00025,5.5
decay,long,200,exponential,50,14,,4000,1.01,0,0,5,4000,1,5.8
decay,long,200,exponential,51,15,,4000,1.01,0,0,5,4000,1,5.7
decay,long,200,exponential,52,16,,4000,1.01,0,0,5,4000,1,5.9
decay,long,200,exponential,53,17,,4000,1.01,0,0,5,4000,1,6
decay,long,200,exponential,54,18,,4000,1.01,0,0,5,4000,1,5.9
decay,long,200,exponential,55,19,,4000,1.01,0,0,5,4000,1,5.8
decay,long,200,exponential,56,20,,4000,1.01,0,0,5,3986,0.9965,5.9
decay,medium,200,exponential,57,1,,4000,1.01,0,0,5,4000,1,6.3
decay,medium,200,exponential,58,2,,4000,1.01,0,0,5,4000,1,6.4
decay,medium,200,exponential,59,3,,4000,1.01,0,0,5,4000,1,6.6
decay,medium,200,exponential,60,4,,4000,1.01,0,0,5,3929,0.98225,6.3
decay,medium,200,exponential,61,5,,4000,1.01,0,0,5,4000,1,6.4
decay,medium,200,exponential,62,6,,4000,1.01,0,0,5,4000,1,6.2
decay,medium,200,exponential,63,7,,4000,1.01,0,0,5,4000,1,6.3
decay,medium,200,exponential,64,8,,4000,1.01,0,0,5,4000,1,6.4
decay,medium,200,exponential,65,9,,4000,1.01,0,0,5,4000,1,6.4
decay,medium,200,exponential,66,10,,4000,1.01,0,0,5,4000,1,6.4
decay,medium,200,exponential,67,11,,4000,1.01,0,0,5,4000,1,6.3
decay,medium,200,exponential,68,12,,4000,1.01,0,0,5,4000,1,6.4
decay,medium,200,exponential,69,13,,4000,1.01,0,0,5,4000,1,6.3
decay,medium,200,exponential,70,14,,4000,1.01,0,0,5,4000,1,6.3
decay,medium,200,exponential,71,15,,4000,1.01,0,0,5,4000,1,6.3
decay,medium,200,exponential,72,16,,4000,1.01,0,0,5,4000,1,6.4
decay,medium,200,exponential,73,17,,4000,1.01,0,0,5,4000,1,6.3
decay,medium,200,exponential,74,18,,4000,1.01,0,0,5,4000,1,6.5
decay,medium,200,exponential,75,19,,4000,1.01,0,0,5,4000,1,6.4
decay,medium,200,exponential,76,20,,4000,1.01,0,0,5,4000,1,6.3
decay,short,200,exponential,77,1,,4000,1.01,0,0,5,4000,1,7.1
decay,short,200,exponential,78,2,,4000,1.01,0,0,5,3999,0.99975,7
decay,short,200,exponential,79,3,,4000,1.01,0,0,5,4000,1,7.1
decay,short,200,exponential,80,4,,4000,1.01,0,0,5,4000,1,6.6
decay,short,200,exponential,81,5,,4000,1.01,0,0,5,4000,1,12.9
decay,short,200,exponential,82,6,,4000,1.01,0,0,5,4000,1,7.1
decay,short,200,exponential,83,7,,4000,1.01,0,0,5,4000,1,6.7
decay,short,200,exponential,84,8,,4000,1.01,0,0,5,4000,1,6.9
decay,short,200,exponential,85,9,,4000,1.01,0,0,6,1,0.00025,7.2
decay,short,200,exponential,86,10,,4000,1.01,0,0,5,4000,1,6.9
decay,short,200,exponential,87,11,,4000,1.01,0,0,5,4000,1,7
decay,short,200,exponential,88,12,,4000,1.01,0,0,5,4000,1,6.9
decay,short,200,exponential,89,13,,4000,1.01,0,0,5,4000,1,6.7
decay,short,200,exponential,90,14,,4000,1.01,0,0,5,4000,1,6.5
decay,short,200,exponential,91,15,,4000,1.01,0,0,5,4000,1,7.3
decay,short,200,exponential,92,16,,4000,1.01,0,0,5,4000,1,7.5
decay,short,200,exponential,93,17,,4000,1.01,0,0,5,3999,0.99975,8.9
decay,short,200,exponential,94,18,,4000,1.01,0,0,5,4000,1,7.1
decay,short,200,exponential,95,19,,4000,1.01,0,0,5,4000,1,6.9
decay,short,200,exponential,96,20,,4000,1.01,0,0,5,4000,1,7.2
fast decay,long,200,exponential,97,1,,4000,1.01,0,0,5,4000,1,5.8
fast decay,long,200,exponential,98,2,,4000,1.01,0,0,5,4000,1,6.1
fast decay,long,200,exponential,99,3,,4000,1.01,0,0,5,3999,0.99975,6.1
fast decay,long,200,exponential,100,4,,4000,1.01,0,0,5,4000,1,6
fast decay,long,200,exponential,101,5,,4000,1.01,0,0,5,4000,1,5.7
fast decay,long,200,exponential,102,6,,4000,1.01,0,0,5,3909,0.97725,6
fast decay,long,200,exponential,103,7,,4000,1.01,0,0,5,3992,0.998,6.3
fast decay,long,200,exponential,104,8,,4000,1.01,0,0,5,3997,0.99925,6
fast decay,long,200,exponential,105,9,,4000,1.01,0,0,5,3999,0.99975,6
fast decay,long,200,exponential,106,10,,4000,1.01,0,0,5,4000,1,6
fast decay,long,200,exponential,107,11,,4000,1.01,0,0,5,4000,1,6.1
fast decay,long,200,exponential,108,12,,4000,1.01,0,0,5,4000,1,6.2
fast decay,long,200,exponential,109,13,,4000,1.01,0,0,5,4000,1,6.1
fast decay,long,200,exponential,110,14,,4000,1.01,0,0,5,4000,1,6
fast decay,long,200,exponential,111,15,,4000,1.01,0,0,5,3999,0.99975,6
fast decay,long,200,exponential,112,16,,4000,1.01,0,0,5,4000,1,5.8
fast decay,long,200,exponential,113,17,,4000,1.01,0,0,5,4000,1,6
fast decay,long,200,exponential,114,18,,4000,1.01,0,0,5,4000,1,6
fast decay,long,200,exponential,115,19,,4000,1.01,0,0,5,4000,1,6
fast decay,long,200,exponential,116,20,,4000,1.01,0,0,5,4000,1,5.9
fast decay,medium,200,exponential,117,1,,4000,1.01,0,0,5,3994,0.9985,6.2
fast decay,medium,200,exponential,118,2,,4000,1.01,0,0,5,4000,1,6.4
fast decay,medium,200,exponential,119,3,,4000,1.01,0,0,5,4000,1,6.6
fast decay,medium,200,exponential,120,4,,4000,1.01,0,0,5,4000,1,6.3
fast decay,medium,200,exponential,121,5,,4000,1.01,0,0,5,4000,1,6.5
fast decay,medium,200,exponential,122,6,,4000,1.01,0,0,5,4000,1,6.3
fast decay,medium,200,exponential,123,7,,4000,1.01,0,0,5,4000,1,6.3
fast decay,medium,200,exponential,124,8,,4000,1.01,0,0,5,4000,1,6.5
fast decay,medium,200,exponential,125,9,,4000,1.01,0,0,5,3996,0.999,6.5
fast decay,medium,200,exponential,126,10,,4000,1.01,0,0,5,4000,1,6.4
fast decay,medium,200,exponential,127,11,,4000,1.01,0,0,5,3393,0.84825,6.4
fast decay,medium,200,exponential,128,12,,4000,1.01,0,0,5,3977,0.99425,6.5
fast decay,medium,200,exponential,129,13,,4000,1.01,0,0,5,4000,1,6.6
fast decay,medium,200,exponential,130,14,,4000,1.01,0,0,5,4000,1,6.4
fast decay,medium,200,exponential,131,15,,4000,1.01,0,0,5,4000,1,6.4
fast decay,medium,200,exponential,132,16,,4000,1.01,0,0,5,4000,1,6.5
fast decay,medium,200,exponential,133,17,,4000,1.01,0,0,5,4000,1,6.2
fast decay,medium,200,exponential,134,18,,4000,1.01,0,0,5,4000,1,6.3
fast decay,medium,200,exponential,135,19,,4000,1.01,0,0,5,4000,1,6.4
fast decay,medium,200,exponential,136,20,,4000,1.01,0,0,5,4000,1,6.5
fast decay,short,200,exponential,137,1,,4000,1.01,0,0,5,4000,1,7.2
fast decay,short,200,exponential,138,2,,4000,1.01,0,0,5,3001,0.75025,7.2
fast decay,short,200,exponential,139,3,,4000,1.01,0,0,5,4000,1,7.3
fast decay,short,200,exponential,140,4,,4000,1.01,0,0,5,3994,0.9985,7.2
fast decay,short,200,exponential,141,5,,4000,1.01,0,0,5,4000,1,7.5
fast decay,short,200,exponential,142,6,,4000,1.01,0,0,5,4000,1,6.7
fast decay,short,200,exponential,143,7,,4000,1.01,0,0,5,4000,1,7.2
fast decay,short,200,exponential,144,8,,4000,1.01,0,0,5,3999,0.99975,7.1
fast decay,short,200,exponential,145,9,,4000,1.01,0,0,5,4000,1,7.3
fast decay,short,200,exponential,146,10,,4000,1.01,0,0,5,4000,1,7
fast decay,short,200,exponential,147,11,,4000,1.01,0,0,5,4000,1,7.2
fast decay,short,200,exponential,148,12,,4000,1.01,0,0,5,4000,1,7.3
fast decay,short,200,exponential,149,13,,4000,1.01,0,0,5,3883,0.97075,7
fast decay,short,200,exponential,150,14,,4000,1.01,0,0,5,4000,1,7
fast decay,short,200,exponential,151,15,,4000,1.01,0,0,5,4000,1,7.2
fast decay,short,200,exponential,152,16,,4000,1.01,0,0,5,4000,1,7.2
