scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1,0,0,4,1,0.00025,0.4
early outbreak,medium,10,outbreak,2,1,,4000,1,0,0,3,1681,0.42025,0.3
early outbreak,short,10,outbreak,3,1,,4000,1.01,0,0,4,4,0.001,0.3
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,4,372,0.093,0.3
late outbreak,medium,10,outbreak,5,1,,4000,1,0,0,4,42,0.0105,0.3
late outbreak,short,10,outbreak,6,1,,4000,1,0,0,4,177,0.04425,0.3
near peak,long,10,outbreak,7,1,,4000,1,0,0,4,403,0.10075,0.4
near peak,medium,10,outbreak,8,1,,4000,1,0,0,4,33,0.00825,0.3
near peak,short,10,outbreak,9,1,,4000,1,0,0,4,2,5e-04,0.3
past peak,long,10,outbreak,10,1,,4000,1,0,0,4,3,0.00075,0.3
past peak,medium,10,outbreak,11,1,,4000,1,0,0,4,109,0.02725,0.4
past peak,short,10,outbreak,12,1,,4000,1,0,0,4,370,0.0925,0.3
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,3,1768,0.442,0.4
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,3,1569,0.39225,0.4
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,3,1663,0.41575,0.3
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1659,0.41475,0.4
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1695,0.42375,0.3
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1699,0.42475,0.3
near peak,long,100,outbreak,19,1,,4000,1,0,0,3,1714,0.4285,0.4
near peak,medium,100,outbreak,20,1,,4000,1,0,0,3,1519,0.37975,0.3
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1667,0.41675,0.4
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,1822,0.4555,0.4
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1708,0.427,0.4
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,1663,0.41575,0.3
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,3,1296,0.324,0.4
early outbreak,medium,200,outbreak,26,1,,4000,1.01,0,0,3,1711,0.42775,0.4
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,1801,0.45025,0.4
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1549,0.38725,0.5
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1539,0.38475,0.4
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,1707,0.42675,0.4
near peak,long,200,outbreak,31,1,,4000,1,0,0,3,1656,0.414,0.5
near peak,medium,200,outbreak,32,1,,4000,1,0,0,3,1757,0.43925,0.4
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,1768,0.442,0.4
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,1689,0.42225,0.4
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1646,0.4115,0.5
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,1774,0.4435,0.5
decay,long,200,exponential,37,1,,4000,1,0,0,3,1713,0.42825,0.7
decay,long,200,exponential,38,2,,4000,1,0,0,3,1640,0.41,0.7
decay,long,200,exponential,39,3,,4000,1,0,0,3,1602,0.4005,0.7
decay,long,200,exponential,40,4,,4000,1,0,0,3,1506,0.3765,0.7
decay,long,200,exponential,41,5,,4000,1,0,0,3,1633,0.40825,0.7
decay,long,200,exponential,42,6,,4000,1.01,0,0,3,1647,0.41175,0.7
decay,long,200,exponential,43,7,,4000,1,0,0,3,1667,0.41675,0.7
decay,long,200,exponential,44,8,,4000,1,0,0,3,1651,0.41275,0.7
decay,long,200,exponential,45,9,,4000,1,0,0,3,1563,0.39075,0.7
decay,long,200,exponential,46,10,,4000,1,0,0,3,1402,0.3505,0.7
decay,long,200,exponential,47,11,,4000,1,0,0,3,1582,0.3955,0.7
decay,long,200,exponential,48,12,,4000,1,0,0,3,1709,0.42725,0.7
decay,long,200,exponential,49,13,,4000,1,0,0,3,1641,0.41025,0.7
decay,long,200,exponential,50,14,,4000,1,0,0,3,1566,0.3915,0.7
decay,long,200,exponential,51,15,,4000,1,0,0,3,1776,0.444,0.7
decay,long,200,exponential,52,16,,4000,1,0,0,3,1620,0.405,0.7
decay,long,200,exponential,53,17,,4000,1,0,0,3,1588,0.397,0.7
decay,long,200,exponential,54,18,,4000,1,0,0,3,1629,0.40725,0.7
decay,long,200,exponential,55,19,,4000,1,0,0,3,1663,0.41575,0.7
decay,long,200,exponential,56,20,,4000,1,0,0,3,1595,0.39875,0.7
decay,medium,200,exponential,57,1,,4000,1,0,0,3,1667,0.41675,0.7
decay,medium,200,exponential,58,2,,4000,1,0,0,3,1680,0.42,0.7
decay,medium,200,exponential,59,3,,4000,1,0,0,3,1580,0.395,0.7
decay,medium,200,exponential,60,4,,4000,1,0,0,3,1598,0.3995,0.7
decay,medium,200,exponential,61,5,,4000,1,0,0,3,1601,0.40025,0.7
decay,medium,200,exponential,62,6,,4000,1,0,0,3,1538,0.3845,0.7
decay,medium,200,exponential,63,7,,4000,1,0,0,3,1587,0.39675,0.7
decay,medium,200,exponential,64,8,,4000,1,0,0,3,1560,0.39,0.7
