scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,min_ess_bulk,min_ess_tail,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
decay,short,200,Exponential,90,2,"",4000,1,369,0.09225,6,1,0.00025,7.3,Dynamical and censoring adjusted (real-time incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,91,3,"",4000,1.04,2890,0.7225,10,60,0.015,81.2,Dynamical and censoring adjusted (real-time incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,99,11,"",4000,1,389,0.09725,6,1,0.00025,7.5,Dynamical and censoring adjusted (real-time incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,100,12,"",4000,1,179,0.04475,4,484,0.121,4.8,Dynamical and censoring adjusted (real-time incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,90,2,"",4000,1,367,0.09175,5,288,0.072,6.4,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,91,3,"",4000,1.01,2761,0.69025,7,16,0.004,13.8,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,99,11,"",4000,1,205,0.05125,4,275,0.06875,3.6,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
decay,short,200,Exponential,100,12,"",4000,1,129,0.03225,3,1413,0.35325,3,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.1,Decay (-0.1)
early outbreak,long,10,Outbreak,1,1,"",4000,1.04,190,0.0475,8,1,0.00025,0.3,Filtered,,,15,1,early outbreak (day 15),1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",,
early outbreak,long,10,Outbreak,1,1,"",4000,1.29,635,0.15875,8,1,0.00025,0.4,Filtered and censoring adjusted,,,15,1,early outbreak (day 15),1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",,
