scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,error,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
120 days,"",834,Ebola case study,349,,real-time,4000,1.01,0,0,3,1410,0.3525,9.6,Dynamical and censoring adjusted,"",,,,,,,,,,,
180 days,"",3149,Ebola case study,351,,real-time,,,,,,,,,Dynamical and censoring adjusted,Fitting failed. Unable to print.,,,,,,,,,,,
240 days,"",2399,Ebola case study,353,,real-time,4000,1,0,0,3,1456,0.364,15,Dynamical and censoring adjusted,"",,,,,,,,,,,
60 days,"",401,Ebola case study,355,,real-time,4000,1,0,0,3,1671,0.41775,8.3,Dynamical and censoring adjusted,"",,,,,,,,,,,
decay,long,200,Exponential,49,1,"",4000,1,0,0,4,26,0.0065,2.5,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.1,Decay (-0.1)
decay,long,200,Exponential,50,2,"",4000,1,0,0,4,1,0.00025,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.1,Decay (-0.1)
decay,long,200,Exponential,51,3,"",4000,1,0,0,4,94,0.0235,2.6,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.1,Decay (-0.1)
decay,long,200,Exponential,52,4,"",4000,1,0,0,3,1490,0.3725,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.1,Decay (-0.1)
decay,long,200,Exponential,53,5,"",4000,1,0,0,3,1569,0.39225,2.4,Dynamical and censoring adjusted,"",,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.1,Decay (-0.1)
decay,long,200,Exponential,54,6,"",,,,,,,,,Dynamical and censoring adjusted,Fitting failed. Unable to print.,,,,1.8,0.8,8.33113748768769,7.88814376435135,1,"Long (mean: 8.3, sd: 7.9)",-0.1,Decay (-0.1)
