scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1.01,2,5e-04,7,8,0.002,0.4
early outbreak,medium,10,outbreak,2,1,,4000,1.55,8,0.002,10,999,0.24975,5.3
early outbreak,short,10,outbreak,3,1,,4000,1.01,15,0.00375,6,8,0.002,0.3
late outbreak,long,10,outbreak,4,1,,4000,1.01,15,0.00375,7,2,5e-04,0.3
late outbreak,medium,10,outbreak,5,1,,4000,1.01,14,0.0035,6,29,0.00725,0.3
late outbreak,short,10,outbreak,6,1,,4000,1.05,1,0.00025,8,1,0.00025,0.3
near peak,long,10,outbreak,7,1,,4000,1.57,1,0.00025,10,999,0.24975,6.6
near peak,medium,10,outbreak,8,1,,4000,1.01,1,0.00025,8,1,0.00025,0.4
near peak,short,10,outbreak,9,1,,4000,1.05,0,0,7,3,0.00075,0.3
past peak,long,10,outbreak,10,1,,4000,1.01,13,0.00325,6,4,0.001,0.3
past peak,medium,10,outbreak,11,1,,4000,1.02,21,0.00525,7,2,5e-04,0.4
past peak,short,10,outbreak,12,1,,4000,1.03,4,0.001,7,7,0.00175,0.4
early outbreak,long,100,outbreak,13,1,,4000,1.02,0,0,7,13,0.00325,1.2
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,4,42,0.0105,0.6
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,6,3,0.00075,0.6
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,4,305,0.07625,0.7
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1638,0.4095,0.5
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1721,0.43025,0.5
near peak,long,100,outbreak,19,1,,4000,1.03,0,0,7,14,0.0035,1.3
near peak,medium,100,outbreak,20,1,,4000,1.01,0,0,4,64,0.016,0.6
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1595,0.39875,0.6
past peak,long,100,outbreak,22,1,,4000,1,0,0,4,1,0.00025,0.6
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1473,0.36825,0.6
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,1663,0.41575,0.6
early outbreak,long,200,outbreak,25,1,,4000,1.02,0,0,6,5,0.00125,2
early outbreak,medium,200,outbreak,26,1,,4000,1.01,0,0,5,6,0.0015,1.3
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,4,3,0.00075,1.1
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,4,58,0.0145,1
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1607,0.40175,1
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,1539,0.38475,1
near peak,long,200,outbreak,31,1,,4000,1,0,0,5,4,0.001,1.4
near peak,medium,200,outbreak,32,1,,4000,1,0,0,4,130,0.0325,1
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,1642,0.4105,1.1
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,1455,0.36375,1.1
