scenario,distribution,sample_size,data_type,id,replicate,obs_type
early outbreak,long,10,outbreak,1,1,
early outbreak,medium,10,outbreak,2,1,
early outbreak,short,10,outbreak,3,1,
late outbreak,long,10,outbreak,4,1,
late outbreak,medium,10,outbreak,5,1,
late outbreak,short,10,outbreak,6,1,
near peak,long,10,outbreak,7,1,
near peak,medium,10,outbreak,8,1,
near peak,short,10,outbreak,9,1,
past peak,long,10,outbreak,10,1,
past peak,medium,10,outbreak,11,1,
past peak,short,10,outbreak,12,1,
early outbreak,long,100,outbreak,13,1,
early outbreak,medium,100,outbreak,14,1,
early outbreak,short,100,outbreak,15,1,
late outbreak,long,100,outbreak,16,1,
late outbreak,medium,100,outbreak,17,1,
late outbreak,short,100,outbreak,18,1,
near peak,long,100,outbreak,19,1,
near peak,medium,100,outbreak,20,1,
near peak,short,100,outbreak,21,1,
past peak,long,100,outbreak,22,1,
past peak,medium,100,outbreak,23,1,
past peak,short,100,outbreak,24,1,
early outbreak,long,200,outbreak,25,1,
early outbreak,medium,200,outbreak,26,1,
early outbreak,short,200,outbreak,27,1,
late outbreak,long,200,outbreak,28,1,
late outbreak,medium,200,outbreak,29,1,
late outbreak,short,200,outbreak,30,1,
near peak,long,200,outbreak,31,1,
near peak,medium,200,outbreak,32,1,
near peak,short,200,outbreak,33,1,
past peak,long,200,outbreak,34,1,
past peak,medium,200,outbreak,35,1,
past peak,short,200,outbreak,36,1,
decay,long,200,exponential,37,1,
decay,long,200,exponential,38,2,
decay,long,200,exponential,39,3,
decay,long,200,exponential,40,4,
decay,long,200,exponential,41,5,
decay,long,200,exponential,42,6,
decay,long,200,exponential,43,7,
decay,long,200,exponential,44,8,
decay,long,200,exponential,45,9,
decay,long,200,exponential,46,10,
decay,long,200,exponential,47,11,
decay,long,200,exponential,48,12,
decay,long,200,exponential,49,13,
decay,long,200,exponential,50,14,
decay,long,200,exponential,51,15,
decay,long,200,exponential,52,16,
decay,long,200,exponential,53,17,
decay,long,200,exponential,54,18,
decay,long,200,exponential,55,19,
decay,long,200,exponential,56,20,
decay,medium,200,exponential,57,1,
decay,medium,200,exponential,58,2,
decay,medium,200,exponential,59,3,
decay,medium,200,exponential,60,4,
decay,medium,200,exponential,61,5,
decay,medium,200,exponential,62,6,
decay,medium,200,exponential,63,7,
decay,medium,200,exponential,64,8,
decay,medium,200,exponential,65,9,
decay,medium,200,exponential,66,10,
decay,medium,200,exponential,67,11,
decay,medium,200,exponential,68,12,
decay,medium,200,exponential,69,13,
decay,medium,200,exponential,70,14,
decay,medium,200,exponential,71,15,
decay,medium,200,exponential,72,16,
decay,medium,200,exponential,73,17,
decay,medium,200,exponential,74,18,
decay,medium,200,exponential,75,19,
decay,medium,200,exponential,76,20,
decay,short,200,exponential,77,1,
decay,short,200,exponential,78,2,
decay,short,200,exponential,79,3,
decay,short,200,exponential,80,4,
decay,short,200,exponential,81,5,
decay,short,200,exponential,82,6,
decay,short,200,exponential,83,7,
decay,short,200,exponential,84,8,
decay,short,200,exponential,85,9,
decay,short,200,exponential,86,10,
decay,short,200,exponential,87,11,
decay,short,200,exponential,88,12,
decay,short,200,exponential,89,13,
decay,short,200,exponential,90,14,
decay,short,200,exponential,91,15,
decay,short,200,exponential,92,16,
decay,short,200,exponential,93,17,
decay,short,200,exponential,94,18,
decay,short,200,exponential,95,19,
decay,short,200,exponential,96,20,
fast decay,long,200,exponential,97,1,
fast decay,long,200,exponential,98,2,
fast decay,long,200,exponential,99,3,
fast decay,long,200,exponential,100,4,
fast decay,long,200,exponential,101,5,
fast decay,long,200,exponential,102,6,
fast decay,long,200,exponential,103,7,
fast decay,long,200,exponential,104,8,
fast decay,long,200,exponential,105,9,
fast decay,long,200,exponential,106,10,
fast decay,long,200,exponential,107,11,
fast decay,long,200,exponential,108,12,
fast decay,long,200,exponential,109,13,
fast decay,long,200,exponential,110,14,
fast decay,long,200,exponential,111,15,
fast decay,long,200,exponential,112,16,
fast decay,long,200,exponential,113,17,
fast decay,long,200,exponential,114,18,
fast decay,long,200,exponential,115,19,
fast decay,long,200,exponential,116,20,
fast decay,medium,200,exponential,117,1,
fast decay,medium,200,exponential,118,2,
fast decay,medium,200,exponential,119,3,
fast decay,medium,200,exponential,120,4,
fast decay,medium,200,exponential,121,5,
fast decay,medium,200,exponential,122,6,
fast decay,medium,200,exponential,123,7,
fast decay,medium,200,exponential,124,8,
fast decay,medium,200,exponential,125,9,
fast decay,medium,200,exponential,126,10,
fast decay,medium,200,exponential,127,11,
fast decay,medium,200,exponential,128,12,
fast decay,medium,200,exponential,129,13,
fast decay,medium,200,exponential,130,14,
fast decay,medium,200,exponential,131,15,
fast decay,medium,200,exponential,132,16,
fast decay,medium,200,exponential,133,17,
fast decay,medium,200,exponential,134,18,
fast decay,medium,200,exponential,135,19,
fast decay,medium,200,exponential,136,20,
fast decay,short,200,exponential,137,1,
fast decay,short,200,exponential,138,2,
fast decay,short,200,exponential,139,3,
fast decay,short,200,exponential,140,4,
fast decay,short,200,exponential,141,5,
fast decay,short,200,exponential,142,6,
fast decay,short,200,exponential,143,7,
fast decay,short,200,exponential,144,8,
fast decay,short,200,exponential,145,9,
fast decay,short,200,exponential,146,10,
fast decay,short,200,exponential,147,11,
fast decay,short,200,exponential,148,12,
fast decay,short,200,exponential,149,13,
fast decay,short,200,exponential,150,14,
