id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,1,,meanlog,2.8,2.2,0.84,1,1.5,1.8,2.8,3.8,6.4,8
2,early outbreak,medium,10,outbreak,1,,meanlog,2.2,1.7,0.41,0.72,1.2,1.4,2.2,3,5.4,6.6
3,early outbreak,short,10,outbreak,1,,meanlog,1.9,1.5,0.89,0.99,1.2,1.4,1.8,2.3,4.1,5.5
4,late outbreak,long,10,outbreak,1,,meanlog,2,1.8,0.88,1.1,1.5,1.7,2,2.3,3.5,4.5
5,late outbreak,medium,10,outbreak,1,,meanlog,2.1,2,1.3,1.4,1.7,1.8,2.1,2.5,3.6,4.2
6,late outbreak,short,10,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7
7,near peak,long,10,outbreak,1,,meanlog,2.2,1.7,0.17,0.5,1,1.3,2.2,3,5.7,7.1
8,near peak,medium,10,outbreak,1,,meanlog,2,1.8,1.4,1.5,1.6,1.7,1.8,2,3.1,4
9,near peak,short,10,outbreak,1,,meanlog,1.2,1.1,0.86,0.94,1.1,1.1,1.2,1.3,1.4,1.5
10,past peak,long,10,outbreak,1,,meanlog,2.4,2.2,1.5,1.6,1.9,2.1,2.3,2.5,4,5.3
11,past peak,medium,10,outbreak,1,,meanlog,2.1,1.8,0.93,1.1,1.4,1.6,2,2.4,3.9,5.6
12,past peak,short,10,outbreak,1,,meanlog,1.2,1.2,-0.051,0.41,0.96,1.1,1.2,1.4,1.8,2.4
13,early outbreak,long,100,outbreak,1,,meanlog,1.4,1.4,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7
14,early outbreak,medium,100,outbreak,1,,meanlog,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4
15,early outbreak,short,100,outbreak,1,,meanlog,1.1,1.1,1,1,1.1,1.1,1.2,1.2,1.2,1.3
16,late outbreak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,1.9,2.1,2.1
17,late outbreak,medium,100,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8
18,late outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
19,near peak,long,100,outbreak,1,,meanlog,1.7,1.6,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2
20,near peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
21,near peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
22,past peak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.7,1.7,1.8,1.8,1.9,2,2
23,past peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8
24,past peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
25,early outbreak,long,200,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.8,1.8
26,early outbreak,medium,200,outbreak,1,,meanlog,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5
27,early outbreak,short,200,outbreak,1,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2
28,late outbreak,long,200,outbreak,1,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8
29,late outbreak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
30,late outbreak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3
31,near peak,long,200,outbreak,1,,meanlog,1.8,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2
32,near peak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8
33,near peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
34,past peak,long,200,outbreak,1,,meanlog,1.8,1.8,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9
35,past peak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8
36,past peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
37,early outbreak,long,400,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7
38,early outbreak,medium,400,outbreak,1,,meanlog,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4
39,early outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
40,late outbreak,long,400,outbreak,1,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
41,late outbreak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
42,late outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3
43,near peak,long,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8
44,near peak,medium,400,outbreak,1,,meanlog,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6
45,near peak,short,400,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
46,past peak,long,400,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
47,past peak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7
48,past peak,short,400,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
49,decay,long,200,exponential,1,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,2,2,2.1
50,decay,long,200,exponential,2,,meanlog,1.9,1.9,1.8,1.8,1.8,1.9,1.9,2,2.1,2.1
51,decay,long,200,exponential,3,,meanlog,2,2,1.8,1.8,1.9,1.9,2,2.1,2.2,2.2
52,decay,long,200,exponential,4,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
53,decay,long,200,exponential,5,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9
54,decay,long,200,exponential,6,,meanlog,,,,,,,,,,
55,decay,long,200,exponential,7,,meanlog,2,2,1.8,1.8,1.9,2,2.1,2.2,2.3,2.4
56,decay,long,200,exponential,8,,meanlog,2,2,1.8,1.8,1.9,1.9,2,2,2.2,2.2
57,decay,long,200,exponential,9,,meanlog,1.9,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2
58,decay,long,200,exponential,10,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9
59,decay,long,200,exponential,11,,meanlog,1.9,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.1
60,decay,long,200,exponential,12,,meanlog,1.8,1.8,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9
61,decay,long,200,exponential,13,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,1.9,2,2,2.1
62,decay,long,200,exponential,14,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2
63,decay,long,200,exponential,15,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1
64,decay,long,200,exponential,16,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.1
65,decay,long,200,exponential,17,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2
66,decay,long,200,exponential,18,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8
67,decay,long,200,exponential,19,,meanlog,1.8,1.8,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9
68,decay,long,200,exponential,20,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2
69,decay,medium,200,exponential,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9
70,decay,medium,200,exponential,2,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.7
71,decay,medium,200,exponential,3,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8
72,decay,medium,200,exponential,4,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7
73,decay,medium,200,exponential,5,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
74,decay,medium,200,exponential,6,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
75,decay,medium,200,exponential,7,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.7
76,decay,medium,200,exponential,8,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
77,decay,medium,200,exponential,9,,meanlog,1.8,1.7,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9
