id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,1,,meanlog,2.1,2.1,1.3,1.4,1.7,1.9,2.3,2.6,3.1,3.4
2,early outbreak,medium,10,outbreak,1,,meanlog,1.5,1.4,0.6,0.72,1,1.2,1.6,1.9,2.5,2.8
3,early outbreak,short,10,outbreak,1,,meanlog,1.8,1.7,1,1.1,1.4,1.5,1.9,2.1,2.6,2.9
4,late outbreak,long,10,outbreak,1,,meanlog,2,1.9,1.3,1.4,1.6,1.8,2,2.2,2.7,3
5,late outbreak,medium,10,outbreak,1,,meanlog,2,1.9,1.2,1.3,1.6,1.8,2.1,2.3,2.7,3
6,late outbreak,short,10,outbreak,1,,meanlog,1.3,1.3,0.75,0.85,1.1,1.2,1.4,1.5,1.7,1.9
7,near peak,long,10,outbreak,1,,meanlog,1.7,1.7,0.74,0.89,1.3,1.5,1.9,2.2,2.8,3.1
8,near peak,medium,10,outbreak,1,,meanlog,1.9,1.8,1.3,1.4,1.6,1.7,1.9,2.1,2.6,2.9
9,near peak,short,10,outbreak,1,,meanlog,1.3,1.2,0.91,0.97,1.1,1.2,1.3,1.4,1.5,1.6
10,past peak,long,10,outbreak,1,,meanlog,2.3,2.3,1.4,1.6,1.9,2.1,2.4,2.7,3.2,3.5
11,past peak,medium,10,outbreak,1,,meanlog,1.8,1.7,1.1,1.1,1.4,1.6,1.9,2.1,2.6,2.8
12,past peak,short,10,outbreak,1,,meanlog,1.3,1.3,0.67,0.77,1,1.2,1.4,1.6,2,2.2
13,early outbreak,long,100,outbreak,1,,meanlog,1.6,1.6,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9
14,early outbreak,medium,100,outbreak,1,,meanlog,1.4,1.4,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.5
15,early outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.4,1.5
16,late outbreak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.9,1.9,2,2.1
17,late outbreak,medium,100,outbreak,1,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.8
18,late outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.4,1.4
19,near peak,long,100,outbreak,1,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.8,1.9,2,2.1
20,near peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
21,near peak,short,100,outbreak,1,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.4,1.4
22,past peak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.8,1.9,2,2
23,past peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
24,past peak,short,100,outbreak,1,,meanlog,1.2,1.2,0.98,1,1.1,1.1,1.2,1.3,1.3,1.4
25,early outbreak,long,200,outbreak,1,,meanlog,1.9,1.9,1.6,1.6,1.7,1.8,1.9,2,2.2,2.3
26,early outbreak,medium,200,outbreak,1,,meanlog,1.5,1.5,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.7
27,early outbreak,short,200,outbreak,1,,meanlog,1.1,1.2,0.96,0.98,1,1.1,1.2,1.2,1.3,1.3
28,late outbreak,long,200,outbreak,1,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
29,late outbreak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
30,late outbreak,short,200,outbreak,1,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
31,near peak,long,200,outbreak,1,,meanlog,2,2,1.8,1.8,1.9,1.9,2,2.1,2.2,2.2
32,near peak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
33,near peak,short,200,outbreak,1,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
34,past peak,long,200,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
35,past peak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8
36,past peak,short,200,outbreak,1,,meanlog,1.2,1.2,0.96,0.98,1.1,1.1,1.2,1.3,1.3,1.3
37,early outbreak,long,400,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.8,1.9,2,2.1
38,early outbreak,medium,400,outbreak,1,,meanlog,1.5,1.5,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6
39,early outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
40,late outbreak,long,400,outbreak,1,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
41,late outbreak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
42,late outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
43,near peak,long,400,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
44,near peak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7
45,near peak,short,400,outbreak,1,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
46,past peak,long,400,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8
47,past peak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.7
48,past peak,short,400,outbreak,1,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
49,decay,long,200,exponential,1,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,2,2,2.1
50,decay,long,200,exponential,2,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1
51,decay,long,200,exponential,3,,meanlog,2,2,1.8,1.8,1.9,1.9,2,2.1,2.2,2.2
52,decay,long,200,exponential,4,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.8,1.9,1.9,1.9
53,decay,long,200,exponential,5,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
54,decay,long,200,exponential,6,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,2,2
55,decay,long,200,exponential,7,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,2,2,2.1,2.1
56,decay,long,200,exponential,8,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2
57,decay,long,200,exponential,9,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
58,decay,long,200,exponential,10,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
59,decay,long,200,exponential,11,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2
60,decay,long,200,exponential,12,,meanlog,1.8,1.8,1.6,1.7,1.7,1.8,1.8,1.9,2,2
61,decay,long,200,exponential,13,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.8,1.9,1.9,2
62,decay,long,200,exponential,14,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.9
63,decay,long,200,exponential,15,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1
64,decay,long,200,exponential,16,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.8,1.9,1.9,2
65,decay,long,200,exponential,17,,meanlog,1.8,1.8,1.6,1.6,1.7,1.8,1.8,1.9,1.9,2
66,decay,long,200,exponential,18,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.8
67,decay,long,200,exponential,19,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
68,decay,long,200,exponential,20,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.9,2,2
69,decay,medium,200,exponential,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9
70,decay,medium,200,exponential,2,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8
71,decay,medium,200,exponential,3,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
72,decay,medium,200,exponential,4,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8
73,decay,medium,200,exponential,5,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
74,decay,medium,200,exponential,6,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7
75,decay,medium,200,exponential,7,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8
76,decay,medium,200,exponential,8,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
77,decay,medium,200,exponential,9,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
78,decay,medium,200,exponential,10,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
79,decay,medium,200,exponential,11,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
80,decay,medium,200,exponential,12,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
81,decay,medium,200,exponential,13,,meanlog,1.6,1.6,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7
82,decay,medium,200,exponential,14,,meanlog,1.6,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
83,decay,medium,200,exponential,15,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
84,decay,medium,200,exponential,16,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.6,1.6,1.6,1.7
85,decay,medium,200,exponential,17,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
86,decay,medium,200,exponential,18,,meanlog,1.7,1.7,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
87,decay,medium,200,exponential,19,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.6,1.6,1.6,1.7
88,decay,medium,200,exponential,20,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
89,decay,short,200,exponential,1,,meanlog,1.2,1.2,0.97,0.99,1.1,1.1,1.2,1.3,1.3,1.3
90,decay,short,200,exponential,2,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
91,decay,short,200,exponential,3,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.3,1.4
92,decay,short,200,exponential,4,,meanlog,1.2,1.2,0.98,1,1.1,1.1,1.2,1.3,1.3,1.3
93,decay,short,200,exponential,5,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
94,decay,short,200,exponential,6,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
95,decay,short,200,exponential,7,,meanlog,1.1,1.2,0.95,0.97,1,1.1,1.2,1.2,1.3,1.3
96,decay,short,200,exponential,8,,meanlog,1.2,1.2,1,1,1.1,1.2,1.2,1.3,1.3,1.4
97,decay,short,200,exponential,9,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.4
98,decay,short,200,exponential,10,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
99,decay,short,200,exponential,11,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
100,decay,short,200,exponential,12,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.3
101,decay,short,200,exponential,13,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
102,decay,short,200,exponential,14,,meanlog,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.4,1.4
103,decay,short,200,exponential,15,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
104,decay,short,200,exponential,16,,meanlog,1.2,1.2,0.98,1,1.1,1.1,1.2,1.3,1.3,1.3
105,decay,short,200,exponential,17,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
106,decay,short,200,exponential,18,,meanlog,1.2,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.4
107,decay,short,200,exponential,19,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
108,decay,short,200,exponential,20,,meanlog,1.2,1.2,0.99,1,1.1,1.1,1.2,1.3,1.3,1.3
109,fast decay,long,200,exponential,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
110,fast decay,long,200,exponential,2,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9
111,fast decay,long,200,exponential,3,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2
112,fast decay,long,200,exponential,4,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,1.9,2,2.1,2.1
113,fast decay,long,200,exponential,5,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9
114,fast decay,long,200,exponential,6,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2
115,fast decay,long,200,exponential,7,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,1.9,2,2
116,fast decay,long,200,exponential,8,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,1.9,2,2
117,fast decay,long,200,exponential,9,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.8
118,fast decay,long,200,exponential,10,,meanlog,1.9,1.9,1.7,1.7,1.8,1.8,1.9,1.9,2,2
