id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,1,,meanlog,1.3,1.3,0.25,0.59,1,1.2,1.5,1.6,2,2.1
2,early outbreak,medium,10,outbreak,1,,meanlog,1.6,1.6,0.87,1.1,1.4,1.5,1.7,1.8,2.1,2.3
3,early outbreak,short,10,outbreak,1,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
4,late outbreak,long,10,outbreak,1,,meanlog,1.4,1.4,0.84,0.96,1.2,1.3,1.5,1.6,1.8,1.9
5,late outbreak,medium,10,outbreak,1,,meanlog,1.9,1.9,1.6,1.7,1.8,1.9,1.9,2,2.1,2.2
6,late outbreak,short,10,outbreak,1,,meanlog,1.4,1.4,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6
7,near peak,long,10,outbreak,1,,meanlog,1.1,1.1,0.41,0.54,0.86,1,1.3,1.4,1.7,1.8
8,near peak,medium,10,outbreak,1,,meanlog,1.5,1.5,1.1,1.2,1.4,1.5,1.6,1.7,1.9,2
9,near peak,short,10,outbreak,1,,meanlog,1.2,1.2,0.94,0.98,1.1,1.1,1.2,1.2,1.3,1.4
10,past peak,long,10,outbreak,1,,meanlog,1.7,1.7,1.1,1.2,1.5,1.6,1.9,2,2.2,2.3
11,past peak,medium,10,outbreak,1,,meanlog,1.7,1.7,1.3,1.4,1.5,1.6,1.8,1.9,2,2.1
12,past peak,short,10,outbreak,1,,meanlog,1.2,1.2,0.71,0.81,1,1.1,1.3,1.4,1.5,1.6
13,early outbreak,long,100,outbreak,1,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8
14,early outbreak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
15,early outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4
16,late outbreak,long,100,outbreak,1,,meanlog,1.7,1.7,1.5,1.6,1.6,1.6,1.7,1.7,1.8,1.8
17,late outbreak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7
18,late outbreak,short,100,outbreak,1,,meanlog,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
19,near peak,long,100,outbreak,1,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
20,near peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
21,near peak,short,100,outbreak,1,,meanlog,1.1,1.1,0.99,1,1,1.1,1.1,1.1,1.2,1.2
22,past peak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
23,past peak,medium,100,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6
24,past peak,short,100,outbreak,1,,meanlog,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
25,early outbreak,long,200,outbreak,1,,meanlog,1.4,1.4,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6
26,early outbreak,medium,200,outbreak,1,,meanlog,1.5,1.5,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6
27,early outbreak,short,200,outbreak,1,,meanlog,1.1,1.1,1,1,1.1,1.1,1.2,1.2,1.2,1.3
28,late outbreak,long,200,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8
29,late outbreak,medium,200,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6
30,late outbreak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3
31,near peak,long,200,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
32,near peak,medium,200,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6
33,near peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3
34,past peak,long,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8
35,past peak,medium,200,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
36,past peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
37,early outbreak,long,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.7
38,early outbreak,medium,400,outbreak,1,,meanlog,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5
39,early outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
40,late outbreak,long,400,outbreak,1,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9
41,late outbreak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
42,late outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3
43,near peak,long,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
44,near peak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7
45,near peak,short,400,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
46,past peak,long,400,outbreak,1,,meanlog,1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
47,past peak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6
48,past peak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
49,decay,long,200,exponential,1,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
50,decay,long,200,exponential,2,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9
51,decay,long,200,exponential,3,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8
