id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,1,,meanlog,4.5,3.4,1.5,1.7,2.2,2.8,4.2,5.7,10,14
2,early outbreak,medium,10,outbreak,1,,meanlog,2.3,1.7,0.77,0.88,1.2,1.4,2.1,3,5.6,6.9
3,early outbreak,short,10,outbreak,1,,meanlog,2.5,2,1.1,1.2,1.5,1.7,2.4,3.2,5.6,7.2
4,late outbreak,long,10,outbreak,1,,meanlog,1.9,1.8,1.3,1.4,1.6,1.7,1.9,2,2.5,2.9
5,late outbreak,medium,10,outbreak,1,,meanlog,2.1,1.9,1.2,1.4,1.6,1.8,2.1,2.4,3.4,4.2
6,late outbreak,short,10,outbreak,1,,meanlog,1.2,1.2,0.82,0.89,1.1,1.2,1.3,1.4,1.5,1.6
7,near peak,long,10,outbreak,1,,meanlog,2.3,1.8,0.56,0.72,1.1,1.4,2.3,3.1,5.2,6.4
8,near peak,medium,10,outbreak,1,,meanlog,2.2,1.9,1.3,1.4,1.6,1.7,2.1,2.7,4.5,5.6
9,near peak,short,10,outbreak,1,,meanlog,1.2,1.2,0.97,1,1.1,1.2,1.2,1.3,1.4,1.4
10,past peak,long,10,outbreak,1,,meanlog,3.1,2.6,1.3,1.5,1.9,2.2,3,3.9,6.7,8.5
11,past peak,medium,10,outbreak,1,,meanlog,2.1,1.7,0.95,1.1,1.3,1.5,2,2.5,4.5,6.1
12,past peak,short,10,outbreak,1,,meanlog,1.3,1.2,0.69,0.79,1,1.1,1.3,1.5,2,2.4
13,early outbreak,long,100,outbreak,1,,meanlog,1.7,1.6,1.4,1.4,1.5,1.6,1.7,1.8,2.1,2.2
14,early outbreak,medium,100,outbreak,1,,meanlog,1.4,1.4,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5
15,early outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4
16,late outbreak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.7,1.7,1.8,1.9,1.9,2,2.1
17,late outbreak,medium,100,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
18,late outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3
19,near peak,long,100,outbreak,1,,meanlog,1.8,1.8,1.5,1.5,1.6,1.7,1.9,2,2.2,2.3
20,near peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
21,near peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3
22,past peak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2
23,past peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
24,past peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3
25,early outbreak,long,200,outbreak,1,,meanlog,2,2,1.7,1.7,1.8,1.9,2.1,2.2,2.5,2.7
26,early outbreak,medium,200,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7
27,early outbreak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
28,late outbreak,long,200,outbreak,1,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8
29,late outbreak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
30,late outbreak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
31,near peak,long,200,outbreak,1,,meanlog,2,2,1.8,1.8,1.9,1.9,2,2.1,2.2,2.3
32,near peak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9
33,near peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
34,past peak,long,200,outbreak,1,,meanlog,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9
35,past peak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8
36,past peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
