id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,meanlog,0.47,0.48,-1.2,-0.94,-0.24,0.16,0.8,1.2,1.8,2.1
1,early outbreak,long,10,outbreak,sdlog,2.8,2.7,1.8,1.9,2.2,2.5,2.9,3.3,4.2,4.7
1,early outbreak,long,10,outbreak,mean,6e+10,64,5.4,6.8,17,32,130,440,9500,79000
1,early outbreak,long,10,outbreak,sd,4.9e+23,2300,32,50,220,660,10000,90000,5.2e+07,3.3e+09
2,early outbreak,medium,10,outbreak,meanlog,1.2,1.2,0.73,0.82,1,1.1,1.2,1.3,1.5,1.6
2,early outbreak,medium,10,outbreak,sdlog,0.64,0.6,0.4,0.43,0.5,0.55,0.67,0.76,0.97,1.1
2,early outbreak,medium,10,outbreak,mean,4.1,3.9,2.6,2.8,3.3,3.6,4.2,4.7,6.2,7.1
2,early outbreak,medium,10,outbreak,sd,3.3,2.6,1.4,1.5,1.9,2.2,3,3.8,6.9,9.3
3,early outbreak,short,10,outbreak,meanlog,0.88,0.88,0.58,0.63,0.76,0.83,0.94,1,1.1,1.2
3,early outbreak,short,10,outbreak,sdlog,0.46,0.44,0.29,0.31,0.36,0.4,0.48,0.55,0.7,0.8
3,early outbreak,short,10,outbreak,mean,2.8,2.7,2,2.1,2.4,2.5,2.8,3,3.6,4
3,early outbreak,short,10,outbreak,sd,1.5,1.2,0.72,0.77,0.94,1.1,1.4,1.7,2.6,3.2
4,late outbreak,long,10,outbreak,meanlog,2,2,1.5,1.6,1.8,1.9,2,2.1,2.3,2.4
4,late outbreak,long,10,outbreak,sdlog,0.68,0.64,0.42,0.45,0.53,0.58,0.7,0.8,1,1.2
4,late outbreak,long,10,outbreak,mean,9.7,8.7,5.9,6.2,7.3,8,9.6,11,15,18
4,late outbreak,long,10,outbreak,sd,24,6.1,3.2,3.4,4.4,5.2,7.3,9.5,18,26
