id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,meanlog,4.1,3.3,1.3,1.5,2.1,2.7,4.1,5.4,8.7,11
1,early outbreak,long,10,outbreak,sdlog,1.5,1.4,0.68,0.74,0.98,1.2,1.6,1.9,2.5,3
1,early outbreak,long,10,outbreak,mean,1.8e+29,70,5.4,6.4,15,31,230,1300,180000,1900000
1,early outbreak,long,10,outbreak,sd,6.8e+36,170,4.2,6,20,54,780,7600,3100000,1.4e+08
2,early outbreak,medium,10,outbreak,meanlog,3.2,2.3,1.1,1.2,1.6,1.9,2.9,4,8.4,11
2,early outbreak,medium,10,outbreak,sdlog,1.3,1.1,0.5,0.55,0.76,0.92,1.3,1.6,2.5,3
2,early outbreak,medium,10,outbreak,mean,6.7e+15,19,3.7,4.2,6.9,11,44,200,92000,5100000
2,early outbreak,medium,10,outbreak,sd,5.6e+20,28,2.3,2.8,6.2,12,94,730,1800000,3.8e+08
3,early outbreak,short,10,outbreak,meanlog,1.1,0.96,0.6,0.67,0.82,0.89,1,1.1,1.8,2.6
3,early outbreak,short,10,outbreak,sdlog,0.52,0.41,0.22,0.23,0.28,0.34,0.5,0.65,1.2,1.5
3,early outbreak,short,10,outbreak,mean,44,2.8,2.1,2.2,2.5,2.6,3.1,3.7,13,37
3,early outbreak,short,10,outbreak,sd,13000,1.2,0.53,0.58,0.75,0.92,1.6,2.5,24,110
4,late outbreak,long,10,outbreak,meanlog,2.1,2,1.5,1.6,1.8,1.9,2.1,2.3,3,3.6
4,late outbreak,long,10,outbreak,sdlog,0.82,0.7,0.42,0.45,0.55,0.62,0.82,1,1.6,2
4,late outbreak,long,10,outbreak,mean,3900,9.7,6,6.5,7.7,8.6,11,15,63,250
4,late outbreak,long,10,outbreak,sd,4.3e+08,7.5,3.2,3.6,4.8,6,10,19,230,1900
5,late outbreak,medium,10,outbreak,meanlog,2.2,1.9,1.1,1.2,1.5,1.7,2.1,2.4,4.5,6.2
5,late outbreak,medium,10,outbreak,sdlog,1.3,1.1,0.64,0.68,0.85,0.97,1.3,1.7,2.8,3.4
5,late outbreak,medium,10,outbreak,mean,4.6e+16,12,5.1,5.6,7.5,9.2,18,40,3900,160000
5,late outbreak,medium,10,outbreak,sd,2.2e+30,19,4.3,5,7.9,12,39,150,190000,4.5e+07
6,late outbreak,short,10,outbreak,meanlog,1.1,1.1,0.62,0.71,0.9,0.99,1.1,1.2,1.4,1.5
6,late outbreak,short,10,outbreak,sdlog,0.57,0.53,0.32,0.34,0.42,0.48,0.6,0.69,0.92,1
6,late outbreak,short,10,outbreak,mean,4.9,3.4,2.3,2.5,2.9,3.2,3.6,4,5.3,6.3
6,late outbreak,short,10,outbreak,sd,140,1.9,0.97,1.1,1.4,1.6,2.2,2.9,5.4,7.6
7,near peak,long,10,outbreak,meanlog,3.4,2.7,1.3,1.5,1.9,2.2,3.4,4.4,7.2,9.1
7,near peak,long,10,outbreak,sdlog,1.5,1.4,0.64,0.69,0.92,1.1,1.6,2,2.8,3.2
7,near peak,long,10,outbreak,mean,2.4e+11,39,5.7,6.5,11,19,120,630,49000,1200000
7,near peak,long,10,outbreak,sd,2.5e+20,90,4.5,5.6,13,31,480,4600,2100000,1.3e+08
8,near peak,medium,10,outbreak,meanlog,3.5,2.8,1.4,1.5,2,2.3,3.4,4.4,7.7,9.6
8,near peak,medium,10,outbreak,sdlog,1.3,1.2,0.55,0.6,0.82,0.97,1.4,1.7,2.4,2.8
8,near peak,medium,10,outbreak,mean,2.1e+16,32,5.1,6,10,17,79,310,36000,520000
8,near peak,medium,10,outbreak,sd,1.3e+22,53,3.5,4.3,10,22,190,1200,5e+05,2.2e+07
9,near peak,short,10,outbreak,meanlog,0.98,0.97,0.62,0.7,0.84,0.91,1,1.1,1.3,1.4
9,near peak,short,10,outbreak,sdlog,0.43,0.38,0.22,0.24,0.29,0.34,0.45,0.54,0.76,0.89
9,near peak,short,10,outbreak,mean,3.1,2.9,2.1,2.2,2.5,2.7,3.1,3.4,4.4,5.2
9,near peak,short,10,outbreak,sd,1.9,1.1,0.59,0.63,0.8,0.95,1.4,1.8,3.5,5.1
10,past peak,long,10,outbreak,meanlog,1.7,1.4,0.7,0.81,1.1,1.3,1.6,1.9,3.5,5.1
10,past peak,long,10,outbreak,sdlog,1.3,1,0.52,0.56,0.72,0.85,1.2,1.7,2.9,3.6
10,past peak,long,10,outbreak,mean,8.7e+15,6.7,3.2,3.5,4.5,5.4,9.5,24,2000,51000
10,past peak,long,10,outbreak,sd,6.9e+32,8.4,2.2,2.5,3.8,5.5,17,89,130000,4.7e+07
11,past peak,medium,10,outbreak,meanlog,1.7,1.6,1.2,1.3,1.5,1.6,1.7,1.8,2,2.2
