"mean","sd","median","p95"
10.568,5.9194,9.6351,22.779
10.243,6.0027,9.0338,21.413
12.702,5.4881,12.009,22.908
15.894,9.4021,13.889,32.837
13.507,8.0132,11.669,29.012
11.668,5.8431,11.119,21.943
13.083,7.5873,11.421,27.044
9.7638,5.2342,9.1097,19.392
12.842,5.9183,12.032,23.847
11.15,6.8318,9.849,23.884
11.653,6.6105,10.543,23.606
12.189,6.5986,10.882,25.022
11.843,7.2567,10.731,25.513
12.898,6.9891,11.449,26.345
10.84,6.439,9.5567,24.389
11.107,6.0175,10.106,21.263
10.858,6.9293,9.5985,23.107
10.914,7.336,9.138,24.874
9.5756,6.9539,8.019,22.334
12.693,6.4254,11.872,24.612
11.418,5.6291,10.566,21.916
11.603,6.3322,10.321,23.648
13.813,9.1999,11.819,32.627
13.125,7.2025,11.495,26.637
12.338,5.783,11.6,23.174
11.382,5.804,10.424,22.821
10.704,5.6483,9.6455,21.663
11.406,6.0862,10.358,23.117
14.649,9.4675,12.35,32.745
16.684,13.02,12.908,42.743
15.144,8.4484,13.2,31.005
11.319,6.0537,9.9677,23.51
10.526,5.38,9.5772,21.476
12.689,7.3223,11.598,25.563
11.279,5.5924,10.618,20.875
12.821,7.5293,11.462,26.193
11.512,6.8812,10.125,25.38
11.856,8.0102,10.118,26.041
11.47,5.1156,10.793,21.415
13.066,8.2532,11.419,29.474
13.374,8.3489,11.998,28.12
12.713,7.789,11.1,28.168
12.07,8.6538,9.6777,28.894
10.562,6.106,9.5386,21.468
11.695,5.8521,10.667,22.457
11.115,6.607,9.8327,24.538
14.591,8.1337,13.142,29.745
11.608,7.634,9.8299,27.263
10.425,6.4688,9.0438,22.487
12.187,7.2911,10.53,25.25
10.828,6.2024,9.7517,22.916
12.464,7.8422,10.623,29.105
13.135,9.38,10.731,31.499
11.544,6.7788,10.324,22.92
14.614,9.8018,12.472,35.023
12.711,7.3015,11.65,25.367
14.047,8.404,12.218,28.944
13.686,8.3055,12.198,29.309
13.543,8.0013,12.242,28.131
11.847,7.6196,10.348,25.875
12.797,6.8515,11.465,25.608
9.617,5.6631,8.363,21.278
10.641,6.4645,9.5174,21.771
11.833,6,10.507,24.009
11.581,7.0475,9.8712,25.42
12.157,6.6967,11.033,24.329
12.427,6.8867,11.497,25.046
10.644,6.7423,9.2023,24.229
10.307,5.2715,9.2065,21.045
10.178,4.9284,9.5474,19.236
12.521,6.8643,11.494,24.619
10.808,5.7086,10.187,21.349
10.975,6.4993,9.5373,22.827
11.25,5.8063,10.076,22.35
11.171,5.6657,10.195,22.141
11.538,6.1671,10.415,24.096
12.387,7.1817,10.914,25.452
10.676,7.1632,9.1906,23.199
11.712,7.2244,9.9917,24.919
10.716,4.8769,10.055,19.451
11.399,6.8442,10.016,23.727
12.011,8.505,10.263,28.105
13.023,8.5432,11.086,30.124
11.323,6.4197,10.252,24.063
11.051,6.1169,10.056,23.979
11.781,6.7486,10.427,25.091
11.546,7.3313,10.171,26.1
10.17,6.1119,8.7222,21.296
10.808,6.1596,9.7034,22.345
11.307,5.8737,10.035,22.411
11.049,6.3454,9.8706,23.138
12.449,8.0421,10.89,27.615
12.729,6.6958,11.642,25.792
11.052,6.7279,9.6895,23.67
13.287,8.3342,11.597,29.675
11.198,6.3163,9.926,24.207
13.268,8.9259,11.208,31.577
12.064,6.3763,10.794,24.101
12.322,7.037,10.834,25.078
12.222,6.4726,11.055,24.921
11.897,7.6575,10.139,26.719
13.476,8.0992,11.831,29.379
12.838,9.3817,10.444,31.427
10.794,4.4462,10.269,18.742
11.146,5.8498,10.176,22.618
11.419,6.5408,10.409,23.831
10.869,5.7085,10.04,21.524
14.346,8.5628,12.838,31.219
10.057,5.1617,9.0367,20.045
10.157,7.4139,8.4265,24.811
12.945,8.56,10.948,29.621
10.644,6.0741,9.6151,22.049
13.235,6.4886,12.327,25.5
14.652,10.263,12.866,35.144
15.156,11,12.972,33.834
12.856,6.4645,11.426,23.964
11.365,5.8399,10.537,21.508
9.9658,4.9374,9.1346,19.238
10.823,5.268,9.9724,20.745
9.9958,5.3469,9.1464,19.291
12.36,8.3858,10.818,27.332
10.379,5.8319,9.3167,21.289
12.04,6.5835,11.063,24.234
13.596,7.9439,11.969,28.419
12.282,7.4086,10.818,26.551
10.74,5.1377,10.249,20.622
14.264,8.3021,12.918,29.881
13.749,8.5459,11.718,31.204
9.3849,4.3149,8.8609,16.692
12.172,5.4914,11.471,21.995
11.352,5.3086,10.758,20.695
11.966,6.9607,10.861,24.157
11.694,6.4921,10.187,24.694
12.158,7.3009,10.751,25.062
11.763,6.713,10.48,24.072
12.737,8.0529,11.214,28.483
12.489,7.9509,10.499,28.925
13.394,6.6641,12.29,26.222
9.8917,5.4697,8.8459,19.35
12.28,7.9002,10.377,27.973
12.183,5.7328,11.634,23.727
10.672,7.4216,9.0233,24.133
10.308,7.1963,8.6743,22.945
13.239,6.122,11.926,24.671
11.69,8.5493,9.4416,27.1
10.331,4.857,9.368,19.864
19.291,15.837,14.933,52.454
11.166,7.5228,9.5786,26.143
13.35,6.294,12.495,25.793
13.165,6.7169,11.92,25.709
12.467,7.4091,11.25,26.214
10.315,5.8531,9.7301,21.368
11.33,6.4611,10.217,23.073
11.964,6.3019,11.075,23.927
11.073,6.5355,9.6636,22.947
14.394,7.3159,13.255,27.752
11.434,4.8349,10.562,20.079
11.789,7.8739,10.203,26.97
11.07,8.3293,9.0106,26.709
14.391,6.7573,13.278,26.649
11.754,6.2696,10.818,23.012
12.152,7.171,10.575,25.896
10.416,5.9048,9.2807,21.4
12.608,7.0698,11.537,25.1
11.069,6.2987,10.128,24.321
10.187,5.3227,9.2593,19.521
11.458,6.7259,10.619,23.342
10.935,6.4294,9.8958,21.874
11.713,6.6332,10.36,25.331
12.797,7.0412,10.995,25.338
10.547,6.4049,9.4676,23.516
11.905,6.3721,10.763,24.773
10.258,9.1859,7.589,27.958
12.453,5.9714,11.66,22.831
11.003,7.4361,9.5453,24.458
10.343,5.4167,9.3387,20.192
9.8788,6.5689,8.4503,22.942
9.2823,6.0392,8.119,19.616
11.805,7.2245,10.904,25.808
14.852,7.9386,13.67,29.495
11.857,5.8727,10.612,23.458
12.51,6.4909,11.47,24.104
10.514,5.9176,9.1625,21.829
13.019,6.6991,11.584,26.548
11.917,6.7583,10.595,24.628
15.193,8.1719,13.803,29.845
8.7071,5.9697,7.1939,19.779
13.05,10.043,10.698,31.774
11.835,6.813,10.743,23.212
11.221,6.3514,10.073,22.534
11.689,6.6205,10.289,23.554
10.775,5.6825,9.628,21.559
13.048,7.9999,11.633,26.514
10.352,5.6997,9.1569,20.775
9.2872,4.635,8.6945,17.821
10.519,6.1614,9.186,22.503
12.443,5.8039,11.949,22.412
12.976,7.4786,11.298,26.401
12.053,6.6147,10.878,24.708
11.58,6.19,10.459,23.092
11.414,6.0944,10.349,21.986
10.989,6.9726,9.3326,24.099
12.245,5.752,11.086,23.301
12.417,8.8658,10.478,28.62
11.362,6.3906,10.017,24.212
10.558,5.5794,9.6889,21.145
9.7998,6.3701,8.1895,21.985
11.622,5.9699,10.443,22.722
11.759,7.0126,10.581,24.932
15.116,7.8395,13.704,30.39
13.495,7.2014,12.16,27.503
11.733,6.6444,10.496,23.225
10.825,4.9502,10.221,19.447
11.698,6.1026,10.434,22.665
10.087,5.7544,8.8418,21.67
11.619,6.3342,10.636,23.096
10.821,5.0541,9.9007,19.656
10.547,5.1748,9.6444,20.235
12.743,8.5119,11.125,28.477
12.903,6.9297,11.626,25.899
11.38,6.7104,10.035,24.409
10.273,6.0525,9.0632,21.665
14.77,8.4654,13.128,32.665
10.692,5.3539,9.8511,19.949
11.518,5.7101,10.449,22.011
10.661,5.0621,9.7183,19.388
10.981,7.2103,9.5582,24.014
11.702,6.7884,10.441,24.777
13.95,8.1385,12.473,28.592
11.26,5.0992,10.441,20.538
14.405,10.119,11.881,35.986
13.624,8.073,12.304,28.964
15.72,8.238,14.407,31.828
12.283,7.0338,10.839,26.311
11.188,7.8179,9.3393,26.269
11.303,5.8745,10.098,22.432
11.064,5.8496,10.14,22.259
9.451,5.0804,8.4667,19.319
11.523,6.3191,10.228,23.339
10.183,5.5987,9.0539,21.035
10.769,5.7738,9.4766,21.982
12.959,7.1384,11.649,25.948
12.264,6.8078,10.871,25.477
9.6192,4.9349,8.8804,19.002
11.081,5.5291,10.141,21.886
12.552,5.8646,11.65,23.06
13.345,6.9881,12.237,26.551
13.733,7.8508,12.2,29.082
13.5,8.4235,12.325,28.51
10.437,5.8188,9.3602,21.858
11.767,6.6371,10.648,23.85
10.985,6.9634,9.5852,24.029
11.81,6.0461,10.86,23.225
11.238,5.8838,10.46,21.73
10.616,6.5426,9.4149,22.001
11.77,6.1731,11.023,23.332
12.273,8.3091,10.123,26.942
11.681,6.9782,10.289,25.012
11.86,6.9225,10.664,25.462
11.1,6.7803,9.6703,24.004
11.062,4.6046,10.576,19.663
13.304,8.1627,11.7,28.6
13.52,7.2338,12.488,27.964
11.079,7.1547,9.2465,24.21
10.243,5.7568,9.0842,21.875
14.614,9.2305,12.566,33.57
10.461,5.7482,9.3359,21.333
11.523,6.5723,10.59,23.987
10.703,5.5602,9.9015,21.724
11.083,5.7219,10.152,21.081
11.787,7.1531,10.436,24.884
12.04,6.2019,10.735,22.47
12.954,7.2481,11.362,26.333
12.446,6.7853,11.194,24.851
10.85,6.111,9.7865,22.173
11.498,6.002,10.376,22.843
11.376,6.6052,10.047,24.165
12.149,6.5726,10.756,24.602
12.816,7.1364,11.57,26.876
12.923,5.8957,12.233,23.375
10.384,5.8141,9.1854,21.706
11.276,6.4881,9.9877,23.429
15.984,7.8231,14.737,31.108
16.409,9.4342,14.461,34.214
12.126,6.6618,10.731,24.573
11.211,6.0147,10.103,23.215
11.496,6.6335,10.261,24.1
9.8156,5.5534,8.7309,21.088
8.1315,4.1597,7.4263,16.095
12.875,6.7315,11.43,25.603
13.98,9.0183,12.26,30.34
11.697,6.1876,10.59,23.353
11.677,6.5226,11.031,24.58
11.813,6.957,10.552,24.567
9.1901,4.8923,8.3577,18.659
12.03,5.376,11.359,21.747
15.724,9.776,14.252,33.893
12.358,7.3567,11.033,26.716
14.061,7.6012,12.892,28.067
9.7449,5.7384,8.5529,20.006
13.299,7.3746,11.467,27.257
12.006,6.4643,10.699,24.931
10.486,6.0387,9.1773,22.547
12.641,6.4862,11.408,25.397
14.442,8.3047,12.519,29.757
13.059,8.0901,11.227,27.852
12.652,7.1239,11.413,26.336
13.092,7.3656,11.422,26.177
9.6849,6.3648,8.0361,21.934
11.306,7.6638,9.8317,25.913
9.9143,5.9635,8.8431,21.171
13.925,6.5869,12.769,25.468
10.311,7.1646,8.4214,24.031
11.852,7.087,10.328,25.786
12.316,6.3558,11.309,24.199
13.301,7.2952,11.694,27.296
11.545,6.3686,10.326,24.178
12.03,6.0514,11.092,23.186
11.701,6.2541,10.695,22.873
10.875,5.7259,9.866,21.145
